股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SH600353,旭光电子,13.78,0.01,0.07,86.97,11688502,160764068,2.15,116.925,0,7492461600
SH688070,纵横股份,62.8,0.45,0.72,86.02,719819,45843961,1.93,,0,5500024000
SH603800,道森股份,38.68,0.51,1.34,83.58,3129300,121876694,1.5,455.675,0,8045440000
SZ301162,国能日新,82,0.5,0.61,83.28,1061192,87667317.88,6.31,90.608,0.549,5813195660
SH688238,和元生物,24.23,0.31,1.3,83.14,1419153,34007498,2.06,203.101,0,11949969470
SZ301239,普瑞眼科,61.53,0.47,0.77,82.85,767972,46987031.04,2.16,115.339,0,9206060023
SZ002329,皇氏集团,8.03,0.5,6.64,82.5,143872156,1149538162.17,26.99,,0,6726249481
SH600123,兰花科创,16.09,-0.09,-0.56,79.48,47627040,768051905,4.17,5.045,4.661,18381216000
SZ300518,盛讯达,57.15,-0.31,-0.54,79.16,1181312,68186754.56,0.9,92.297,0.25,8140265406
SH603595,东尼电子,66.1,2.24,3.51,79.09,5474114,362716073,3.03,187.834,0.022,15364437749
SZ002037,保利联合,14.36,0.46,3.31,79.02,63198200,883868665.06,13.06,98.945,0.299,6948568008
SH600084,中葡股份,7.14,0.03,0.42,78.5,5486300,39020635,0.49,1349.089,0,8023409566
SH603938,三孚股份,45.88,0.28,0.61,75.19,4394910,203187274,1.61,21.156,0.268,12539151367
SZ300481,濮阳惠成,41.3,1.46,3.66,74.46,11308313,463237772.14,3.87,34.876,0.968,12242598111
SH603209,兴通股份,37.27,-1.22,-3.17,74.32,2994412,111705212,5.99,37.61,0.402,7454000000
SH603227,雪峰科技,12.17,0.24,2.01,74.31,35691800,430830630,5.42,28.146,0.575,8818016900
SZ002068,黑猫股份,18.17,0.29,1.62,73.05,32189101,589479691.17,4.43,343.904,0,13593333059
SH688048,长光华芯,138.97,10.35,8.05,72.78,2314790,317140260,7.92,148.323,0.36,18844325885
SH603069,海汽集团,25.1,0.3,1.21,72.63,10616018,265371366,3.36,,0,7931600000
SZ000722,湖南发展,15.19,0.33,2.22,72.09,36414102,547289202.56,7.85,47.739,0.658,7050564304
SZ002805,丰元股份,54.23,-1.49,-2.67,71.97,10226351,560009536.16,7.72,77.309,0.055,9649263477
SZ300820,英杰电气,102,1.01,1,71.23,3208535,336226686.73,7.07,70.827,0.325,14649635250
SZ301018,申菱环境,44.92,2.46,5.79,70.79,6206698,277498808.47,7.27,60.201,0.401,10781249200
SH603822,嘉澳环保,70.49,6.41,10,70.71,1233356,86939264,1.7,45.6,0.396,5171618472
SZ300856,科思股份,71.31,4.11,6.12,70.18,3228949,225258776.85,5.47,62.486,0.28,12074209200
SZ000899,赣能股份,9.9,0.18,1.85,66.95,51433482,503717740.61,5.27,,0,9659209824
SH600508,上海能源,18.4,0.34,1.88,64.49,31511546,580132617,4.36,8.981,0.842,13298011200
SH600780,通宝能源,6.7,0.11,1.67,64.22,13809670,91278239,1.2,14.36,0,7681566904
SZ002125,湘潭电化,18.56,0.51,2.83,63.33,23120264,425427544.18,3.9,23.709,0.269,11683180593
SZ300916,朗特智能,66.27,3.86,6.18,61.81,2402368,156171398.41,9.22,41.766,0.302,6348997350
SZ000756,新华制药,17.87,0.04,0.22,60.94,13228339,236449584.71,3.03,34.902,0.839,11966238689
SH600078,ST澄星,15.05,0.72,5.02,60.79,15687301,228922028,2.37,3.8,0,9971721558
SH603067,振华股份,17.46,0.06,0.34,60.11,16974076,296496995,3.38,22.244,1.053,8887422258
SZ301263,泰恩康,31.4,0.24,0.77,60.02,4473878,139287589.89,8.79,52.86,1.115,7422567500
SZ300337,银邦股份,12.68,0.6,4.97,59.73,34880654,439575924.08,4.91,93.167,0.158,10421945600
SH600400,红豆股份,5.88,0.02,0.34,58.25,22397836,132164776,0.98,252.811,1.105,13541768490
SH688213,思特威-W,49.81,2.91,6.2,58.08,1736921,85478355,5.76,89.111,0,19924498100
SH600428,中远海特,7.88,-0.15,-1.87,57.98,115362927,916370412,5.37,34.537,0.635,16915608075
SH600056,中国医药,13.17,0.03,0.23,57.46,26889907,353710805,1.8,32.723,0.985,19700736281
SZ301153,中科江南,52.85,2.19,4.32,56.92,1739353,89970695.2,7.55,34.517,1.892,5707800000
SZ002307,北新路桥,6.7,-0.08,-1.18,56.91,74981852,498549132.44,6.87,164.318,0,8497553599
SZ301095,广立微,90.71,3.47,3.98,56.4,4828957,438575476.35,12.1,256.446,0,18142000000
SZ002031,巨轮智能,3.29,0,0,55.19,202360400,665101032,10.46,,0,7236011754
SH603056,德邦股份,15.86,1.44,9.99,55.03,23229208,365077275,2.42,73.566,0,16287545474
SZ301215,中汽股份,5.87,-0.01,-0.17,55.02,5707290,33604070.23,2.21,69.711,0.392,7762488000
SH600657,信达地产,5.71,0.07,1.24,54.81,53776861,304657063,1.89,24.217,1.226,16284226777
SZ000821,京山轻机,21.28,0.53,2.55,54.31,70578946,1485914021.33,12.32,73.057,0,13254775276
SH688559,海目星,92.11,2.48,2.77,54.26,5332697,496560820,4.16,108.696,0,18581027915
SH603917,合力科技,36.58,3.33,10.02,54.22,11117420,398085121,7.09,102.446,0.355,5735744000
SZ002689,远大智能,5.05,0.24,4.99,53.96,152830060,759871176.96,14.68,745.962,0,5268719161
SH603636,南威软件,13.65,-0.32,-2.29,53.81,12958076,178835514,2.19,92.746,0.623,8064332340
SH603363,傲农生物,19.47,0.07,0.36,53.31,20977771,404051316,2.89,,0,16970842910
SZ001339,智微智能,25.8,-2.87,-10.01,53.02,23589683,629553119.14,38.2,31.871,0,6371697000
SZ002060,粤水电,8.38,0.68,8.83,52.59,151916534,1264430873.8,12.64,28.501,0.931,10074956046
SZ002219,恒康医疗,4.09,-0.01,-0.24,52.59,7802557,31786558.99,0.24,,0,13350429750
SZ002121,科陆电子,8.92,0,0,52.48,66077650,588584730.83,4.97,,0,12562474391
SZ000707,双环科技,11.18,-0.12,-1.06,52.32,18454501,206121485.05,3.98,5.39,0,5189149653
SH688403,汇成股份,13.51,0.18,1.35,52.14,10839567,146957617,9.35,64.819,,11278867826
SZ002801,微光股份,30.4,-0.16,-0.52,51.5,1536700,46946264,1.33,22.259,1.645,6980812800
SH688102,斯瑞新材,15.77,0.35,2.27,51.41,2320511,36469619,7.07,79.109,0.507,6308157700
SZ301116,益客食品,17.06,0.04,0.24,50.03,2486129,42625375.24,5.76,,0.306,7659591857
SH603619,中曼石油,22.34,-0.46,-2.02,49.81,10380000,230915452,2.59,35.13,0.895,8936002234
SH603237,五芳斋,51.33,0,0,49.56,8018888,411282956,31.84,39.752,,5171138190
SH688293,C奥浦迈,119.7,1.66,1.41,49.25,2748547,329801180,16.24,103.523,,9813045262
SH603871,嘉友国际,21.65,1.13,5.51,48.79,5495955,117486066,1.1,22.603,1.464,10826052125
SZ300179,四方达,16.23,0.23,1.44,48.76,9800220,158876785,2.61,59.513,0,7886300311
SZ300787,海能实业,39.32,0.55,1.42,48.69,3872480,153938376.8,4.34,18.697,1.272,6026258694
SH600199,金种子酒,25.05,-0.2,-0.79,48.14,10571088,265148365,1.61,,0,16477810441
SZ000065,北方国际,11.28,0.17,1.53,47.67,57315192,650230848.02,6.33,15.302,0.552,11299214307
SZ002053,云南能投,13.95,0.22,1.6,47.56,26477456,362748736.5,3.48,35.378,0.143,10615650996
SH601702,华峰铝业,18.02,0.75,4.34,47.29,16244593,293012874,5.84,31.647,0.422,17993521412
SH688337,普源精电-U,89.6,3.56,4.14,47.17,1044625,93517702,4.12,241.434,0,10869336038
SZ002478,常宝股份,6.25,-0.02,-0.32,47.1,81724295,500052798.67,14.04,25.93,1.28,5640972413
SH603505,金石资源,37.74,0.39,1.04,46.63,3298778,124102923,0.76,68.773,0.456,16410339354
SZ002204,大连重工,6.35,-0.04,-0.63,46.53,53793927,341074144.92,2.79,55.396,0.472,12264199703
SH603327,福蓉科技,19.34,0.25,1.31,46.45,6355684,123365640,1.22,24.898,1.671,10081942000
SZ002062,宏润建设,5.86,-0.09,-1.51,46.44,25034985,147429400.21,2.59,16.832,1.706,6460650000
