股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SZ000810,创维数字,20.37,-0.36,-1.74,108.46,18149946,372828701.53,1.62,37.253,0.454,23429901387
SZ002077,大港股份,15.75,0.53,3.48,105.35,105989191,1652366621.18,18.26,108.308,0,9140489080
SH600191,华资实业,7.34,0.08,1.1,104.84,9932918,72550432,2.05,,0.136,3559400880
SH603688,石英股份,128.72,5.69,4.62,104.57,11504348,1483358730,3.18,101.756,0.181,46503591659
SZ001228,永泰运,62.17,-1.84,-2.87,104.1,1938475,122730228.61,7.46,26.418,0.483,6457262742
SZ000736,中交地产,12.89,0.43,3.45,103.48,43287778,551536625.32,6.22,56.631,0.31,8964140251
SH688556,高测股份,97.2,8.2,9.21,102,6147976,588075119,3.62,65.818,0.132,22154150592
SZ002731,萃华珠宝,21.57,0.42,1.99,100.98,3096459,66876439.38,1.29,187.853,0.046,5525284920
SH605117,德业股份,388.8,9.75,2.57,99.73,2314053,901845435,2.85,115.508,0.22,92897461440
SZ002101,广东鸿图,23.18,-0.73,-3.05,98.53,29968431,702185377.07,5.67,31.449,1.294,12259412114
SH601975,招商南油,3.99,0.36,9.92,98.51,398584781,1560349921,8.21,37.159,0,19362607554
SH605366,宏柏新材,20.06,-0.37,-1.81,97.62,8472113,169561086,4.03,25.43,0.614,8753341480
SZ001313,粤海饲料,10.47,-0.15,-1.41,95.42,5654188,59309227.12,5.65,103.341,0.525,7329000000
SH688700,东威科技,132.3,-0.2,-0.15,95.13,1884474,251986778,2.11,105.437,0.227,19474560000
SZ000965,天保基建,5.07,0.05,1,95,64528283,324634791.08,5.81,28.266,0,5626842638
SZ001205,盛航股份,33.6,1.6,5,94.87,6034909,193575149.47,5.17,36.441,0.276,5734489589
SH603477,巨星农牧,30,-0.76,-2.47,93.94,15138617,447643407,3.14,,0.173,15182803290
SH600212,绿能慧充,7.93,-0.09,-1.12,93.89,23643000,192789616,4.62,,0,4057758899
SZ002843,泰嘉股份,19.43,1.11,6.06,93.67,14948750,292490545.5,7.12,49.944,0.772,4080300000
SH601001,晋控煤业,18.11,0.96,5.6,93.65,35544387,638775512,2.12,5.386,2.209,30310707000
SH603398,沐邦高科,38.26,0.26,0.68,93.43,9849046,382682502,2.87,,0,13109196238
SH603191,望变电气,22.89,-0.11,-0.48,93,3086650,70900112,3.71,33.777,0,7626201946
SZ301268,铭利达,54.92,0.57,1.05,92.7,3209750,175640455.16,9.49,102.252,0.182,21968549200
SZ001259,利仁科技,37.85,3.44,10,91.65,468426,17729924.1,2.53,40.896,1.039,2785339411
SZ000933,神火股份,16.8,0.29,1.76,91.53,56203655,944651039.52,2.52,5.996,2.679,37816575031
SZ301312,智立方,137.46,-0.06,-0.04,90.05,818900,111441671,8,56.044,0,5627992065
SZ000913,钱江摩托,26.95,-0.8,-2.88,89.92,5786058,156810096.28,1.28,47.403,0,12637690450
SH601872,招商轮船,7.6,0.35,4.83,88.87,109854766,828051188,1.43,11.106,1.447,61619597688
SZ300666,江丰电子,98.93,3.43,3.59,88.47,8249184,815734507.49,4.89,115.793,0.098,23316453376
SH600996,贵广网络,10.42,-0.41,-3.79,87.07,62531714,652259845,5.87,,0,11096241505
SH688070,纵横股份,62.97,1.01,1.63,86.52,713697,45364815,1.91,,0,5514912600
SH900915,中路B股,0.838,-0.019,-2.22,86.51,1768356,1531651,2.12,67.112,1.175,269373349
SZ000525,ST红太阳,16.36,-0.69,-4.05,85.91,11188400,186735203,1.95,,0,9501444202
SZ300260,新莱应材,87.48,6.38,7.87,85.7,4938559,425433863.35,3.23,76.818,0.091,19819408176
SZ001319,铭科精技,27.33,-0.63,-2.25,85.64,2104984,57979032.04,5.95,42.476,1.281,3864462000
SH688401,路维光电,46.55,-0.39,-0.83,85.61,3220954,150508505,11.32,77.488,0,6206679080
SZ301175,中科环保,7.03,0.03,0.43,84.03,9111193,63591875.25,2.85,54.737,0,10347316400
SH688170,德龙激光,54.34,-1.02,-1.84,82.02,2118222,116806971,10.07,67.151,0.92,5616582400
SZ002037,保利联合,14.58,-0.58,-3.83,81.76,84035728,1236503386.65,17.37,100.461,0.295,7055022392
SZ002738,中矿资源,91.25,1.36,1.51,81.75,11111565,1001695780.28,2.63,24.468,0.078,41785709358
SH688326,经纬恒润-W,219.5,1.2,0.55,81.4,1050848,231972720,4.5,120.275,0,26340000000
SH603612,索通发展,36.41,-0.06,-0.16,81.23,17387203,622511162,3.99,18.707,1.289,16771100797
SZ301239,普瑞眼科,60.79,-1,-1.62,80.65,795600,48711061,2.24,113.952,0,9095341928
SZ301120,新特电气,24.41,0.03,0.12,79.92,5429726,133572357.67,10.35,60.333,0.819,6044584102
SZ300518,盛讯达,57.39,1.08,1.92,79.91,1766114,100802041.07,1.35,92.685,0.249,8174450248
SZ301035,润丰股份,102.77,1.24,1.22,79.19,2440029,247529528.31,2.81,20.093,0.811,28383018600
SH600778,友好集团,7.98,0.05,0.63,78.92,3696215,29645047,1.19,353.031,0,2485700989
SH603366,日出东方,8.89,0.81,10.02,78.47,50009917,433702732,6.25,47.078,0.879,7303645286
SH603209,兴通股份,38.12,1.18,3.19,78.29,5446137,204451281,10.89,38.467,0.393,7624000000
SH688283,坤恒顺维,60.06,2.06,3.55,77.98,735548,43469780,4.01,86.293,0.103,5045040000
